"Active__c","Case_Field_Api_Name__c","CreatedById","CreatedDate","Id","IsDeleted","LastModifiedById","LastModifiedDate","Name","SetupOwnerId","SystemModstamp","WI_Field_API_Name__c"
"true","Subject","0053t000008GkyTAAS","2025-11-03T12:32:03.000Z","a1sRK000007aPWzYAM","false","0053t000008GkyTAAS","2025-11-03T12:32:03.000Z","Subject","00DRK00000G27XG2AZ","2025-11-03T12:32:03.000Z","Jpetto__Title__c"
"true","Description","0053t000008GkyTAAS","2025-11-03T12:31:20.000Z","a1sRK000007aSo9YAE","false","0053t000008GkyTAAS","2025-11-03T12:31:20.000Z","Description","00DRK00000G27XG2AZ","2025-11-03T12:31:20.000Z","Jpetto__Description__c"
